index,label
0,Contradiction
1,Entailment
2,Entailment
3,Contradiction
4,Entailment
5,Contradiction
6,Neutral
7,Entailment
8,Entailment
9,Contradiction
10,Contradiction
11,Entailment
12,Contradiction
13,Entailment
14,Neutral
15,Entailment
16,Entailment
17,Neutral
18,Contradiction
19,Neutral
20,Contradiction
21,Entailment
22,Contradiction
23,Entailment
24,Contradiction
25,Contradiction
26,Entailment
27,Entailment
28,Entailment
29,Neutral
30,Contradiction
31,Entailment
32,Contradiction
33,Contradiction
34,Neutral
35,Contradiction
36,Entailment
37,Contradiction
38,Entailment
39,Contradiction
40,Neutral
41,Entailment
42,Contradiction
43,Neutral
44,Neutral
45,Contradiction
46,Neutral
47,Entailment
48,Contradiction
49,Entailment
50,Entailment
51,Entailment
52,Entailment
53,Neutral
54,Entailment
55,Entailment
56,Neutral
57,Neutral
58,Entailment
59,Neutral
60,Entailment
61,Neutral
62,Neutral
63,Neutral
64,Neutral
65,Contradiction
66,Neutral
67,Neutral
68,Contradiction
69,Contradiction
70,Entailment
71,Neutral
72,Entailment
73,Contradiction
74,Neutral
75,Neutral
76,Entailment
77,Neutral
78,Neutral
79,Entailment
80,Neutral
81,Neutral
82,Contradiction
83,Contradiction
84,Entailment
85,Contradiction
86,Contradiction
87,Contradiction
88,Entailment
89,Neutral
90,Contradiction
91,Neutral
92,Entailment
93,Contradiction
94,Entailment
95,Entailment
96,Contradiction
97,Contradiction
98,Entailment
99,Neutral
100,Neutral
101,Entailment
102,Neutral
103,Entailment
104,Neutral
105,Entailment
106,Neutral
107,Neutral
108,Contradiction
109,Entailment
110,Contradiction
111,Neutral
112,Contradiction
113,Entailment
114,Neutral
115,Entailment
116,Entailment
117,Contradiction
118,Contradiction
119,Contradiction
120,Contradiction
121,Contradiction
122,Contradiction
123,Neutral
124,Entailment
125,Entailment
126,Entailment
127,Entailment
128,Contradiction
129,Neutral
130,Entailment
131,Entailment
132,Contradiction
133,Entailment
134,Neutral
135,Entailment
136,Contradiction
137,Neutral
138,Contradiction
139,Contradiction
140,Entailment
141,Contradiction
142,Neutral
143,Neutral
144,Entailment
145,Neutral
146,Entailment
147,Contradiction
148,Neutral
149,Neutral
150,Contradiction
151,Entailment
152,Contradiction
153,Neutral
154,Entailment
155,Entailment
156,Entailment
157,Contradiction
158,Contradiction
159,Contradiction
160,Entailment
161,Entailment
162,Neutral
163,Entailment
164,Neutral
165,Contradiction
166,Neutral
167,Entailment
168,Neutral
169,Entailment
170,Neutral
171,Neutral
172,Entailment
173,Neutral
174,Contradiction
175,Neutral
176,Neutral
177,Neutral
178,Contradiction
179,Contradiction
180,Contradiction
181,Neutral
182,Entailment
183,Entailment
184,Neutral
185,Contradiction
186,Contradiction
187,Neutral
188,Entailment
189,Contradiction
190,Neutral
191,Entailment
192,Contradiction
193,Entailment
194,Neutral
195,Entailment
196,Entailment
197,Entailment
198,Contradiction
199,Neutral
200,Neutral
201,Neutral
202,Entailment
203,Contradiction
204,Contradiction
205,Entailment
206,Entailment
207,Neutral
208,Entailment
209,Neutral
210,Contradiction
211,Contradiction
212,Contradiction
213,Neutral
214,Contradiction
215,Contradiction
216,Entailment
217,Entailment
218,Contradiction
219,Contradiction
220,Contradiction
221,Contradiction
222,Entailment
223,Contradiction
224,Neutral
225,Contradiction
226,Contradiction
227,Neutral
228,Entailment
229,Neutral
230,Entailment
231,Neutral
232,Entailment
233,Entailment
234,Entailment
235,Neutral
236,Neutral
237,Entailment
238,Entailment
239,Entailment
240,Entailment
241,Contradiction
242,Neutral
243,Neutral
244,Neutral
245,Entailment
246,Neutral
247,Neutral
248,Contradiction
249,Neutral
250,Entailment
251,Contradiction
252,Neutral
253,Entailment
254,Neutral
255,Neutral
256,Contradiction
257,Contradiction
258,Entailment
259,Entailment
260,Entailment
261,Entailment
262,Neutral
263,Neutral
264,Contradiction
265,Neutral
266,Contradiction
267,Entailment
268,Contradiction
269,Entailment
270,Contradiction
271,Neutral
272,Entailment
273,Entailment
274,Contradiction
275,Contradiction
276,Contradiction
277,Entailment
278,Neutral
279,Contradiction
280,Neutral
281,Entailment
282,Neutral
283,Entailment
284,Entailment
285,Entailment
286,Neutral
287,Contradiction
288,Entailment
289,Neutral
290,Entailment
291,Contradiction
292,Entailment
293,Contradiction
294,Entailment
295,Contradiction
296,Contradiction
297,Entailment
298,Neutral
299,Entailment
300,Neutral
301,Entailment
302,Neutral
303,Entailment
304,Entailment
305,Entailment
306,Entailment
307,Contradiction
308,Entailment
309,Entailment
310,Neutral
311,Contradiction
312,Contradiction
313,Neutral
314,Neutral
315,Neutral
316,Neutral
317,Neutral
318,Entailment
319,Entailment
320,Entailment
321,Neutral
322,Neutral
323,Entailment
324,Contradiction
325,Entailment
326,Contradiction
327,Neutral
328,Contradiction
329,Contradiction
330,Neutral
331,Entailment
332,Entailment
333,Contradiction
334,Contradiction
335,Contradiction
336,Entailment
337,Contradiction
338,Contradiction
339,Entailment
340,Contradiction
341,Neutral
342,Entailment
343,Contradiction
344,Neutral
345,Entailment
346,Contradiction
347,Contradiction
348,Contradiction
349,Neutral
350,Entailment
351,Entailment
352,Entailment
353,Neutral
354,Neutral
355,Contradiction
356,Neutral
357,Entailment
358,Contradiction
359,Neutral
360,Contradiction
361,Contradiction
362,Contradiction
363,Neutral
364,Contradiction
365,Contradiction
366,Neutral
367,Entailment
368,Entailment
369,Entailment
370,Contradiction
371,Contradiction
372,Entailment
373,Neutral
374,Neutral
375,Entailment
376,Entailment
377,Neutral
378,Entailment
379,Entailment
380,Entailment
381,Neutral
382,Contradiction
383,Neutral
384,Entailment
385,Contradiction
386,Entailment
387,Entailment
388,Contradiction
389,Entailment
390,Neutral
391,Entailment
392,Contradiction
393,Contradiction
394,Contradiction
395,Contradiction
396,Entailment
397,Neutral
398,Contradiction
399,Entailment
400,Contradiction
401,Neutral
402,Contradiction
403,Contradiction
404,Entailment
405,Neutral
406,Contradiction
407,Neutral
408,Contradiction
409,Neutral
410,Entailment
411,Contradiction
412,Contradiction
413,Contradiction
414,Neutral
415,Contradiction
416,Contradiction
417,Entailment
418,Neutral
419,Entailment
420,Neutral
421,Neutral
422,Entailment
423,Neutral
424,Entailment
425,Neutral
426,Neutral
427,Contradiction
428,Contradiction
429,Contradiction
430,Entailment
431,Neutral
432,Contradiction
433,Neutral
434,Entailment
435,Contradiction
436,Entailment
437,Entailment
438,Entailment
439,Entailment
440,Entailment
441,Contradiction
442,Entailment
443,Neutral
444,Contradiction
445,Neutral
446,Neutral
447,Entailment
448,Contradiction
449,Contradiction
450,Contradiction
451,Entailment
452,Entailment
453,Contradiction
454,Contradiction
455,Entailment
456,Neutral
457,Contradiction
458,Entailment
459,Contradiction
460,Entailment
461,Entailment
462,Contradiction
463,Entailment
464,Contradiction
465,Entailment
466,Contradiction
467,Neutral
468,Entailment
469,Contradiction
470,Contradiction
471,Contradiction
472,Entailment
473,Entailment
474,Entailment
475,Contradiction
476,Entailment
477,Contradiction
478,Entailment
479,Contradiction
480,Entailment
481,Entailment
482,Entailment
483,Entailment
484,Entailment
485,Neutral
486,Entailment
487,Neutral
488,Contradiction
489,Entailment
490,Entailment
491,Neutral
492,Neutral
493,Entailment
494,Entailment
495,Entailment
496,Entailment
497,Entailment
498,Entailment
499,Entailment
500,Entailment
501,Entailment
502,Neutral
503,Contradiction
504,Contradiction
505,Entailment
506,Entailment
507,Entailment
508,Entailment
509,Contradiction
510,Contradiction
511,Entailment
512,Entailment
513,Entailment
514,Entailment
515,Contradiction
516,Neutral
517,Entailment
518,Contradiction
519,Contradiction
520,Neutral
521,Neutral
522,Contradiction
523,Entailment
524,Neutral
525,Contradiction
526,Entailment
527,Entailment
528,Entailment
529,Entailment
530,Contradiction
531,Neutral
532,Contradiction
533,Entailment
534,Neutral
535,Contradiction
536,Contradiction
537,Entailment
538,Neutral
539,Neutral
540,Entailment
541,Contradiction
542,Contradiction
543,Entailment
544,Contradiction
545,Neutral
546,Contradiction
547,Entailment
548,Neutral
549,Entailment
550,Neutral
551,Contradiction
552,Entailment
553,Entailment
554,Entailment
555,Contradiction
556,Entailment
557,Contradiction
558,Neutral
559,Contradiction
560,Entailment
561,Contradiction
562,Neutral
563,Neutral
564,Entailment
565,Neutral
566,Entailment
567,Entailment
568,Neutral
569,Contradiction
570,Entailment
571,Entailment
572,Entailment
573,Contradiction
574,Entailment
575,Contradiction
576,Entailment
577,Neutral
578,Contradiction
579,Contradiction
580,Contradiction
581,Entailment
582,Entailment
583,Neutral
584,Entailment
585,Entailment
586,Entailment
587,Entailment
588,Contradiction
589,Entailment
590,Entailment
591,Entailment
592,Contradiction
593,Entailment
594,Contradiction
595,Contradiction
596,Contradiction
597,Neutral
598,Entailment
599,Entailment
600,Contradiction
601,Neutral
602,Contradiction
603,Entailment
604,Neutral
605,Entailment
606,Contradiction
607,Contradiction
608,Contradiction
609,Contradiction
610,Contradiction
611,Entailment
612,Neutral
613,Entailment
614,Contradiction
615,Contradiction
616,Neutral
617,Neutral
618,Contradiction
619,Neutral
620,Contradiction
621,Neutral
622,Entailment
623,Contradiction
624,Entailment
625,Contradiction
626,Contradiction
